what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347066930750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347066992687
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1347066992734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347066994765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347066995281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347066995984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067003515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067004343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067005359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067005500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067005640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067006234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067007171
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347067007593
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1347067008125
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1347067008531
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1347067008546
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1347067009250
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1347067009265
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1347067009265
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1347067009265
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1347067009265
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1347067009265
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1347067009265
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1347067009265
