what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error reading update site http://www.eclipse.org/modeling/emft/updates/.",1348211827890
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/cdt/releases/indigo.",1348211828171
error,log,,,"Unable to read repository at http://download.eclipse.org/stp/updates/.",1348211828468
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/mdt/papyrus/updates/releases/.",1348211828750
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/emft/mwe/updates/.",1348211829031
error,log,,,"No repository found at http://download.eclipse.org/tools/orbit/downloads/drops/R20100519200754/repository.",1348212109218
error,log,,,"No repository found at http://www.eclipse.org/modeling/emft/?project=search#search.",1348212119968
error,log,,,"No repository found at http://download.eclipse.org/technology/babel/update-site/R0.9.1/indigo.",1348212129531
error,log,,,"No repository found at http://download.eclipse.org/tehnology/babel/update-site/ganymede/.",1348212397656
error,log,,,"No repository found at http://download.eclipse.org/rt/rap/1.3/tooling.",1348212406718
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1348212406843
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1348212407000
error,log,,,"Provisioning exception",1348213344750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348214015609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348214015734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348214016500
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348214016828
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1348214023000
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1348214027718
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1348214027781
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1348214027921
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1348214028203
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1348214028515
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1353430549562
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1353430549593
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1353430549640
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1353430549734
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1353430549796
