what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821134533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821134627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821275283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821275955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821276721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821276846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1353821282627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353821283018
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1353821284174
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1353821284268
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1353821284346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1353821287252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353821287799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1353821304924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353821305299
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1353821316189
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1353821317471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821347049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821351408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1353821352658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353821353189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821353939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821355830
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353821355924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821359580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353821365455
