what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430820812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430827984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430830125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430834109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430834921
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1353430836203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430838093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430841953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430844406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430851343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353430855750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430856578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430867843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353430871359
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1353430872968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430874421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430876656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353430882750
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1353430883156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430883843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430884250
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1353430885265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430890718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430896156
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1353430902890
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1353430904765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353430905562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430906984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353430910375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430912718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430913109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430916265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430917343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430927218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1353430935828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353430938828
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1353430940359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430943562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1353430945875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353430948781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353430949000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430954234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430955953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430959906
error,log,,,"Unable to connect to repository https://dl-ssl.google.com/android/eclipse/site.xml",1353430960203
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/orbit/downloads/drops/R20100519200754/repository.",1353430960515
error,log,,,"Unable to read repository at http://download.eclipse.org/jwt/update-site.",1353430960796
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/gef/updates/milestones/.",1353430961109
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/gmf/updates/releases/.",1353430961421
error,log,,,"Unable to read repository at http://www.eclipse.org/modeling/emft/?project=search#search.",1353430961734
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/m2t/updates/.",1353430962031
error,log,,,"Unable to read repository at http://download.eclipse.org/technology/babel/update-site/R0.9.1/indigo.",1353430962343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430962437
error,log,,,"Unable to read repository at http://marketplace.eclipse.org/repo/.",1353430962671
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/orbit/downloads/drops/updateSite.",1353430963015
error,log,,,"Unable to read repository at http://download.eclipse.org/webtools/updates/.",1353430963281
error,log,,,"Unable to read repository at http://download.eclipse.org/objectteams/updates/contrib.",1353430963578
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/gmt/modisco/updates/release.",1353430963843
error,log,,,"Unable to read repository at http://download.eclipse.org/tehnology/babel/update-site/ganymede/.",1353430964125
error,log,,,"Unable to read repository at http://dl-ssl.google.com/android/eclipse/site.xml.",1353430964671
error,log,,,"Unable to read repository at http://download.eclipse.org/egit/updates/content.xml.",1353430965265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430965750
error,log,,,"Unable to read repository at http://download.eclipse.org/rt/rap/1.3/tooling/content.xml.",1353430965953
error,log,,,"Unable to read repository at http://download.eclipse.org/objectteams/updates/2.0/compositeContent.xml.",1353430966875
error,log,,,"Unable to read repository at http://download.eclipse.org/releases/helios/201009240900/content.xml.",1353430967437
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1353430967484
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1353430967500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353430968578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353430982312
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1353430982515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353431002859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1353431009828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353431011093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353431014625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353431020359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353431021625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353431022968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353431024187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353431024609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353431043500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353431059359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353431077140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1353431080468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353431081500
