what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to read repository at http://marketplace.eclipse.org/repo/.",1353809133564
error,log,,,"Unable to read repository at http://download.eclipse.org/tools/orbit/downloads/drops/updateSite.",1353809133846
error,log,,,"Unable to read repository at http://download.eclipse.org/webtools/updates/.",1353809134127
error,log,,,"Unable to read repository at http://download.eclipse.org/objectteams/updates/contrib.",1353809134408
error,log,,,"Unable to read repository at http://download.eclipse.org/modeling/gmt/modisco/updates/release.",1353809134674
error,log,,,"Unable to read repository at http://download.eclipse.org/tehnology/babel/update-site/ganymede/content.xml.",1353809135158
error,log,,,"Unable to read repository at http://dl-ssl.google.com/android/eclipse/site.xml.",1353809135877
error,log,,,"Unable to read repository at http://download.eclipse.org/egit/updates/content.xml.",1353809136346
error,log,,,"Unable to read repository at http://download.eclipse.org/rt/rap/1.3/tooling/content.xml.",1353809142721
error,log,,,"Unable to read repository at http://download.eclipse.org/objectteams/updates/2.0/compositeContent.xml.",1353809143189
error,log,,,"Unable to read repository at http://download.eclipse.org/releases/helios/201009240900/content.xml.",1353809143799
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1353809143893
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1353809144002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809162393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809164158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809174143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809177033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809182658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809183486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809183502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809183611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809184955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809185127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809185221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809185283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809185455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809185799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809186439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809187877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809190049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809191096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809309299
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353809310955
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1353809319236
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353809319408
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353809319486
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1353809322533
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1353809324127
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1353809324283
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1353809326299
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1353809326330
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1353809327924
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1353809328018
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1353809329596
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1353809329924
opened,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1353809329939
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1353809330299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809330314
opened,view,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms.views.LogCatView",1353809334064
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1353809344455
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809350783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809360518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809360533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809360643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809364768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809366549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353809369299
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353809369439
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1353809370486
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1353809370502
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1353809374783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1353809377221
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353809377877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1353809384580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353809385096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353809387393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353809387986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353809392564
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353809394221
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353809396955
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1353809404064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1353809404752
