what,kind,bundleId,bundleVersion,description,time
error,log,,,"Provisioning exception",1353832991031
error,log,,,"Provisioning exception",1353832991031
error,log,,,"Provisioning exception",1353832991031
error,log,,,"Provisioning exception",1353832991046
error,log,,,"Provisioning exception",1353832991046
error,log,,,"Provisioning exception",1353832991046
error,log,,,"Provisioning exception",1353832991046
error,log,,,"Provisioning exception",1353832991046
error,log,,,"Some sites could not be found.  See the error log for more detail.",1353832991046
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.touchpoint.natives",1353833345046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833538140
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.install",1353833538171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833538546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833540718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833542250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833547875
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1353833548500
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1353833548562
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1353833575125
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1353833575265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833575265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833701734
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353833701968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353833705015
error,log,,,"Provisioning exception",1353834297531
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1353847542218
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1353847542281
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1353847542437
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1353847542671
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1353847542671
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1353847542828
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1353847542828
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1353847542828
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1353847542828
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1353847542843
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1353847542843
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1353847542843
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1353847542843
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1353847542906
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1353847543031
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1353847543031
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1353847543031
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1353847543031
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1353847543031
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1353847543031
