what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1353824220140
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1353824223453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1353824225531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824230015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824231921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1353824231953
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1353824232296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824236859
error,log,,,"Communication with repository at http://download.eclipse.org/technology/epp/updates/udc/ failed.",1353824264968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824318781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824319250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824319375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824320484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824320500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824320546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824502468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824502671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824502687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824502796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824507171
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1353824508718
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1353824508734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824510281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824510296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824510531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1353824546156
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1353824552625
